datetime,Demanda real
2014-08-17 00:00:00+00:00,549667.0
2014-08-18 00:00:00+00:00,656983.0
2014-08-19 00:00:00+00:00,666093.0
2014-08-20 00:00:00+00:00,663790.0
2014-08-21 00:00:00+00:00,663455.0
2014-08-22 00:00:00+00:00,654908.0
2014-08-23 00:00:00+00:00,595374.0
2014-08-24 00:00:00+00:00,559385.0
2014-08-25 00:00:00+00:00,689716.0
2014-08-26 00:00:00+00:00,727482.0
2014-08-27 00:00:00+00:00,740335.0
2014-08-28 00:00:00+00:00,740304.0
2014-08-29 00:00:00+00:00,729800.0
2014-08-30 00:00:00+00:00,646246.0
2014-08-31 00:00:00+00:00,599634.0
2014-09-01 00:00:00+00:00,736154.0
2014-09-02 00:00:00+00:00,758051.0
2014-09-03 00:00:00+00:00,757786.0
2014-09-04 00:00:00+00:00,753966.0
2014-09-05 00:00:00+00:00,744338.0
2014-09-06 00:00:00+00:00,656561.0
2014-09-07 00:00:00+00:00,601636.0
2014-09-08 00:00:00+00:00,704806.0
2014-09-09 00:00:00+00:00,733464.0
2014-09-10 00:00:00+00:00,733678.0
2014-09-11 00:00:00+00:00,703504.0
2014-09-12 00:00:00+00:00,712211.0
2014-09-13 00:00:00+00:00,642729.0
2014-09-14 00:00:00+00:00,586708.0
2014-09-15 00:00:00+00:00,699343.0
2014-09-16 00:00:00+00:00,712431.0
2014-09-17 00:00:00+00:00,714114.0
2014-09-18 00:00:00+00:00,709426.0
2014-09-19 00:00:00+00:00,701089.0
2014-09-20 00:00:00+00:00,618074.0
2014-09-21 00:00:00+00:00,561572.0
2014-09-22 00:00:00+00:00,669926.0
2014-09-23 00:00:00+00:00,671530.0
2014-09-24 00:00:00+00:00,662337.0
2014-09-25 00:00:00+00:00,662980.0
2014-09-26 00:00:00+00:00,657167.0
2014-09-27 00:00:00+00:00,584681.0
2014-09-28 00:00:00+00:00,541143.0
2014-09-29 00:00:00+00:00,654152.0
2014-09-30 00:00:00+00:00,669704.0
2014-10-01 00:00:00+00:00,673985.0
2014-10-02 00:00:00+00:00,678293.0
2014-10-03 00:00:00+00:00,671343.0
2014-10-04 00:00:00+00:00,593327.0
2014-10-05 00:00:00+00:00,541886.0
2014-10-06 00:00:00+00:00,657666.0
2014-10-07 00:00:00+00:00,675033.0
2014-10-08 00:00:00+00:00,678264.0
2014-10-09 00:00:00+00:00,663905.0
2014-10-10 00:00:00+00:00,658918.0
2014-10-11 00:00:00+00:00,584097.0
2014-10-12 00:00:00+00:00,537399.0
2014-10-13 00:00:00+00:00,617761.0
2014-10-14 00:00:00+00:00,653002.0
2014-10-15 00:00:00+00:00,669022.0
2014-10-16 00:00:00+00:00,679472.0
2014-10-17 00:00:00+00:00,672045.0
2014-10-18 00:00:00+00:00,591902.0
2014-10-19 00:00:00+00:00,540403.0
2014-10-20 00:00:00+00:00,655042.0
2014-10-21 00:00:00+00:00,678150.0
2014-10-22 00:00:00+00:00,673641.0
2014-10-23 00:00:00+00:00,661462.0
2014-10-24 00:00:00+00:00,656644.0
2014-10-25 00:00:00+00:00,576341.0
2014-10-26 00:00:00+00:00,530537.0
2014-10-27 00:00:00+00:00,643867.0
2014-10-28 00:00:00+00:00,662592.0
2014-10-29 00:00:00+00:00,664574.0
2014-10-30 00:00:00+00:00,661020.0
2014-10-31 00:00:00+00:00,653374.0
2014-11-01 00:00:00+00:00,558674.0
2014-11-02 00:00:00+00:00,532147.0
2014-11-03 00:00:00+00:00,653145.0
2014-11-04 00:00:00+00:00,673057.0
2014-11-05 00:00:00+00:00,677217.0
2014-11-06 00:00:00+00:00,687668.0
2014-11-07 00:00:00+00:00,685239.0
2014-11-08 00:00:00+00:00,611491.0
2014-11-09 00:00:00+00:00,565312.0
2014-11-10 00:00:00+00:00,679696.0
2014-11-11 00:00:00+00:00,717177.0
2014-11-12 00:00:00+00:00,709449.0
2014-11-13 00:00:00+00:00,712289.0
2014-11-14 00:00:00+00:00,703834.0
2014-11-15 00:00:00+00:00,621652.0
2014-11-16 00:00:00+00:00,579319.0
2014-11-17 00:00:00+00:00,701215.0
2014-11-18 00:00:00+00:00,725896.0
2014-11-19 00:00:00+00:00,719337.0
2014-11-20 00:00:00+00:00,713619.0
2014-11-21 00:00:00+00:00,698100.0
2014-11-22 00:00:00+00:00,618616.0
2014-11-23 00:00:00+00:00,577885.0
2014-11-24 00:00:00+00:00,681409.0
2014-11-25 00:00:00+00:00,700660.0
2014-11-26 00:00:00+00:00,701033.0
2014-11-27 00:00:00+00:00,711303.0
2014-11-28 00:00:00+00:00,710002.0
2014-11-29 00:00:00+00:00,627608.0
2014-11-30 00:00:00+00:00,583682.0
2014-12-01 00:00:00+00:00,693999.0
2014-12-02 00:00:00+00:00,711508.0
2014-12-03 00:00:00+00:00,720270.0
2014-12-04 00:00:00+00:00,725245.0
2014-12-05 00:00:00+00:00,722365.0
2014-12-06 00:00:00+00:00,645341.0
2014-12-07 00:00:00+00:00,613026.0
2014-12-08 00:00:00+00:00,629133.0
2014-12-09 00:00:00+00:00,754134.0
2014-12-10 00:00:00+00:00,765677.0
2014-12-11 00:00:00+00:00,761884.0
2014-12-12 00:00:00+00:00,759091.0
2014-12-13 00:00:00+00:00,683967.0
2014-12-14 00:00:00+00:00,639448.0
2014-12-15 00:00:00+00:00,747800.0
2014-12-16 00:00:00+00:00,759410.0
2014-12-17 00:00:00+00:00,753050.0
2014-12-18 00:00:00+00:00,740883.0
2014-12-19 00:00:00+00:00,727655.0
2014-12-20 00:00:00+00:00,657467.0
2014-12-21 00:00:00+00:00,611183.0
2014-12-22 00:00:00+00:00,704712.0
2014-12-23 00:00:00+00:00,706305.0
2014-12-24 00:00:00+00:00,631728.0
2014-12-25 00:00:00+00:00,543793.0
2014-12-26 00:00:00+00:00,626300.0
2014-12-27 00:00:00+00:00,632789.0
2014-12-28 00:00:00+00:00,606571.0
2014-12-29 00:00:00+00:00,696196.0
2014-12-30 00:00:00+00:00,707234.0
2014-12-31 00:00:00+00:00,657963.0
2015-01-01 00:00:00+00:00,573389.0
2015-01-02 00:00:00+00:00,678255.0
2015-01-03 00:00:00+00:00,662087.0
2015-01-04 00:00:00+00:00,629649.0
2015-01-05 00:00:00+00:00,677453.0
2015-01-06 00:00:00+00:00,605425.0
2015-01-07 00:00:00+00:00,758031.0
2015-01-08 00:00:00+00:00,784669.0
2015-01-09 00:00:00+00:00,774789.0
2015-01-10 00:00:00+00:00,689213.0
2015-01-11 00:00:00+00:00,638715.0
2015-01-12 00:00:00+00:00,759816.0
2015-01-13 00:00:00+00:00,770880.0
2015-01-14 00:00:00+00:00,770468.0
2015-01-15 00:00:00+00:00,769241.0
2015-01-16 00:00:00+00:00,770184.0
2015-01-17 00:00:00+00:00,700337.0
2015-01-18 00:00:00+00:00,669316.0
2015-01-19 00:00:00+00:00,792291.0
2015-01-20 00:00:00+00:00,816779.0
2015-01-21 00:00:00+00:00,819533.0
2015-01-22 00:00:00+00:00,813884.0
2015-01-23 00:00:00+00:00,802376.0
2015-01-24 00:00:00+00:00,719387.0
2015-01-25 00:00:00+00:00,659740.0
2015-01-26 00:00:00+00:00,780279.0
2015-01-27 00:00:00+00:00,789821.0
2015-01-28 00:00:00+00:00,785072.0
2015-01-29 00:00:00+00:00,782345.0
2015-01-30 00:00:00+00:00,772311.0
2015-01-31 00:00:00+00:00,693306.0
2015-02-01 00:00:00+00:00,653601.0
2015-02-02 00:00:00+00:00,788599.0
2015-02-03 00:00:00+00:00,807063.0
2015-02-04 00:00:00+00:00,825330.0
2015-02-05 00:00:00+00:00,822370.0
